"","Document.ID","extracted"
"1","FTC-2022-0053-0014",NA
"2","FTC-2022-0053-0026"," 

As a (now-retired) librarian and educator, I tried to teach college students how to protect their privacy while also making clear this is not something that should be the responsibility of individuals, it's a problem we need to address as a society."
"3","FTC-2022-0053-0029","As a technology consulting firm, we often analyze technology; hardware, software, and mobile apps– From a wide range of market segments and solutions."
"4","FTC-2022-0053-0031",NA
"5","FTC-2022-0053-0037","As a 12 year security professional I am only submitting this comment in relation to the idea of rulemaking for security."
"6","FTC-2022-0053-0046","As a private investor and advocate in personal data rights and technology that empowers ethical brands and consumers to share data and/or actionable insights, I would like to submit the following suggestions: 
That we consider that personal data goes beyond privacy."
"7","FTC-2022-0053-0048"," As a person with ADHD, I fall victim to this technology often."
"8","FTC-2022-0053-0050"," As a person with ADHD, I fall victim to this technology often."
"9","FTC-2022-0053-0053","As a technologist who has worked on the web since 1993, I am dismayed at how the promise of free access to the world's knowledge has been perverted into a worldwide surveillance system."
"10","FTC-2022-0053-0055"," As a general reminder:

   Commercial or political use of my data or people associated with me are a binding legal contract in agreement to $1000/nanosecond per CHIP billable from the moment the data is accessed throughout the duration the data remains in the biological, digital or physical storage device."
"11","FTC-2022-0053-0064"," As a Portlander and carceral abolitionist, I speak from my context."
"12","FTC-2022-0053-0088","As a member of the public, I fully endorse legislation and/or rulemaking that encourages companies to minimize the data they collect and punishes companies for selling data to third-party brokers who are unknown to me."
"13","FTC-2022-0053-0141","Comment on the digital harm to children 

As a digital professional who leaded digital products implementation for international private organizations and public administrations, I can testify the children's digital experience is not, at the present time, sufficiently protected."
"14","FTC-2022-0053-0156",NA
"15","FTC-2022-0053-0158",NA
"16","FTC-2022-0053-0218","As a marketer specializing in Digital advertising, I've worked for multiple Fortune 2,000 companies over the past decade."
"17","FTC-2022-0053-0221",NA
"18","FTC-2022-0053-0228"," As a disabled person, FaceBook is one of my main connections with the outside world."
"19","FTC-2022-0053-0274",NA
"20","FTC-2022-0053-0289","As a worker in the tech field, I know the power that wielders of personal data hold."
"21","FTC-2022-0053-0296",NA
"22","FTC-2022-0053-0297"," As a young woman who is just learning about the world I am not sure what I can and can’t put my name to, it’s an already very dangerous world we live in and this only makes it worse."
"23","FTC-2022-0053-0321","Dear FTC,

As a former teacher in New York, I address question 14 on commercial surveillance practices harming minors."
"24","FTC-2022-0053-0356","Thank you for reading! As a software specialist, I have seen firsthand the harm that we can do with technology, especially where identification is concerned."
"25","FTC-2022-0053-0410"," As a result, most of our sales come from the internet, so digital advertising is a big part of our marketing strategy and our business success."
"26","FTC-2022-0053-0416",NA
"27","FTC-2022-0053-0483"," As a mobile App publisher, we show Ads in our apps, to generate Ad Revenue which helps us continue to grow."
"28","FTC-2022-0053-0520",NA
"29","FTC-2022-0053-0523"," As a consumer, this was alarming because I was unaware information such as this was being tracked by a system without my consent."
"30","FTC-2022-0053-0540","  As a result, I am completely unable to make returns to any store that uses this particular screening system."
"31","FTC-2022-0053-0553","

As a business professional for over 18 years, I would find it much more useful to have customer consent on all levels of data collecting and solicitation."
"32","FTC-2022-0053-0558"," As a result of some of my studies and life experience I have in a city that continues to invest in surveillance in ways that are harmful to citizens, I can’t help but feel like algorithmic discrimination is incredibly present."
