"","x"
"1","DataRep"
"2","HITRUST"
"3","Student Data Privacy Consortium"
"4","Aesec Corporation and Gemini Computers, Incorporated"
"5","TechFreedom"
"6","U.S. Chamber of Commerce"
"7","Americans for Prosperity Foundation"
"8","mAdSpace Inc."
"9","DataEthics4All Foundation"
"10","NTCA-The Rural Broadband Association"
"11","Coalition of nonprofits and social entrepreneurships with mission related to mental health led by Promly,"
"12","Reproductive Rights 360"
"13","Coalition for a Secure & Transparent Internet (CSTI)"
"14","National Federation of Independent Business (NFIB)"
"15","Society for Participatory Medicine"
"16","Thimble.io"
"17","Washington Legal Foundation"
"18","Developers Alliance"
"19","Kiva Dunes"
"20","Sanarai"
"21","Scaffidi's Pasta, Inc."
"22","Responsible Metaverse Alliance (RMA)"
"23","National Pawnbrokers Association"
"24","Carolina Road Software, LLC"
"25","NAMIC"
"26","Wikimedia Foundation"
"27","College of Healthcare Information Management Executives (CHIME)"
"28","Coastal Federal Credit Union"
"29","R Street Institute"
"30","Demos"
"31","Starry, Inc."
"32","Mortgage Bankers Association"
"33","Voices for Innovation"
"34","International Digital Accountability Council"
"35","Taxpayers Protection Alliance"
"36","Clean Up Gambling"
"37","Public Responsibility in Medicine & Research (PRIM&R)"
"38","Progressive Policy Institute"
"39","Fog Data Science"
"40","Planned Parenthood"
"41","5Rights Foundation"
"42","School of Information Sciences, University of Illinois at Urbana-Champaign"
"43","HIMSS Electronic Health Record Association"
"44","PRIVO"
"45","Department of Computer Science, University of Chicago"
"46","Berkman Klein Center Projects and Associates"
"47","Perion Network, Ltd."
"48","Policing Project at New York University School of Law"
"49","Workday"
"50","Open Voice Network"
"51","Confidentiality Coalition"
"52","Palantir Technologies"
"53","National Community Pharmacists Association"
"54","Mozilla"
"55","American Clinical Laboratory Association"
"56","Data & Society Research Institute"
"57","Financial Technology Association"
"58","Invitae Corporation"
"59","Interactive Advertising Bureau"
"60","IEEE"
"61","AICPA"
"62","Fight for the Future"
"63","ITI - Information Technology Industry Council"
"64","Zest AI"
"65","NetChoice"
"66","The Information Accountability Foundation"
"67","The Free State Foundation"
"68","People Search Services Coalition"
"69","FRIDAY"
"70","Internet for Growth"
"71","Kantara Initiative Education Foundation"
"72","American Consumer Institute"
"73","ACA International"
"74","The Surveillance Technology Oversight Project"
"75","Institute of Electrical and Electronics Engineers (IEEE) -USA"
"76","Restaurant Law Center & National Restaurant Association"
"77","FMI - The Food Industry Association"
"78","Garmin International, Inc."
"79","American Economic Liberties Project and Center for Digital Democracy."
"80","Citizens Against Government Waste"
"81","Institute for Free Speech"
"82","Wejo Data Services, Inc."
"83","Open Markets Institute, Irish Council for Civil Liberties, Trans Atlantic Consumer Dialogue"
"84","ButcherBox"
"85","The Future of Privacy Forum"
"86","Next Century Cities"
"87","(ISC)2"
"88","National Women's Law Center"
"89","National Taxpayers Union"
"90","Security Industry Association"
"91","Samuelson-Glushko Technology Law & Policy Clinic"
"92","Sagewood Global Strategies LLC"
"93","BABL AI Inc."
"94","National Urban League"
"95","American College of Obstetricians and Gynecologists"
"96","Retail Industry Leaders Association (RILA)"
"97","Oakland Privacy and Media Alliance"
"98","The MITRE Corporation"
"99","Blue Cross Blue Shield Association (BCBSA)"
"100","IETF Internet Architecture Board (IAB)"
"101","The Brennan Center for Justice at NYU School of Law and 17 other organizations"
"102","Johnson & Johnson"
"103","Public Knowledge"
"104","Independent Community Bankers of America"
"105","The American Association of Advertising Agencies (4A's)"
"106","Nielsen"
"107","National Center for Missing and Exploited Children"
"108","American Bar Association"
"109","Datavant"
"110","ACA Connects"
"111","Edison Electric Instittute"
"112","Center for Digital Democracy"
"113","A & A Plumbing"
"114","MediaJustice"
"115","Credit Union National Association"
"116","Privacy for America"
"117","The Leadership Conference on Civil and Human Rights"
"118","Legal Action Center"
"119","International Center for Law & Economics"
"120","R3"
"121","Just Futures Law"
"122","Center for Data Innovation"
"123","Chamber of Progress"
"124","Lawyers' Committee for Civil Rights Under Law"
"125","Google"
"126","Consumer Relations Consortium"
"127","Association for Molecular Pathology"
"128","Upturn, Inc."
"129","Common Cause"
"130","Association of National Advertisers"
"131","The Center on Race, Inequality, and the Law / The Surveillance, Tech & Immigration Policing Project"
"132","BSA | The Software Alliance"
